Tenure,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
23,1,10,4,1,3,5,4,1,4,0,1,6,291,0
26,1,9,3,1,3,1,3,0,4,1,1,3,276,0
15,3,6,4,1,3,2,3,0,2,0,11,6,149,0
2,3,8,4,1,3,2,2,2,2,0,1,9,146,0
28,1,26,1,1,3,2,2,0,4,1,1,8,154,0
0,1,17,3,1,3,2,5,0,2,1,3,3,147,0
9,1,6,4,0,3,3,2,2,2,0,5,7,121,0
7,1,30,4,1,3,3,3,1,4,1,1,0,132,1
11,1,29,4,1,3,2,2,1,10,0,1,2,157,0
0,1,14,0,1,3,3,4,1,3,1,1,2,124,1
1,1,14,4,0,3,3,2,2,2,0,1,2,133,0
22,1,16,4,0,3,5,5,2,10,1,1,2,287,0
9,1,9,1,1,3,2,4,2,5,0,7,7,145,0
4,3,11,5,0,3,3,4,1,2,0,2,2,128,0
0,3,10,5,1,4,2,2,2,2,1,7,4,158,1
10,1,14,0,1,3,3,2,0,2,1,1,2,123,0
15,3,32,5,0,3,1,4,0,6,0,2,8,235,0
9,1,9,4,1,3,4,3,2,2,0,1,0,114,1
8,3,22,5,1,3,0,4,0,1,0,6,9,180,0
9,1,24,4,1,2,4,2,0,5,0,1,0,137,0
24,1,8,3,1,5,2,4,1,6,0,1,2,155,0
14,3,8,4,1,3,1,4,2,2,0,2,4,260,0
0,3,16,3,0,4,4,3,2,2,0,1,0,112,0
1,1,22,3,1,2,2,5,2,1,0,1,7,157,0
4,3,13,1,1,2,2,2,0,5,0,7,7,169,0
12,1,6,3,1,2,0,2,1,1,0,3,7,196,0
9,1,30,4,0,3,2,4,0,8,0,1,8,157,0
5,3,13,4,1,4,2,3,0,2,0,4,8,155,0
11,1,31,4,0,4,0,4,0,4,0,1,3,221,0
30,1,6,4,1,5,2,3,1,3,1,1,2,157,0
4,1,11,1,1,3,4,2,0,1,1,1,3,148,0
4,2,8,6,1,4,2,5,0,4,0,1,0,164,0
18,1,13,4,1,3,0,5,1,2,0,9,11,152,0
4,1,8,4,1,3,3,2,1,1,1,2,2,127,0
6,1,11,4,0,3,0,4,0,7,0,8,3,219,0
12,1,16,3,1,3,1,5,0,2,1,11,10,271,0
16,1,14,4,0,3,3,2,2,1,0,1,7,125,0
22,1,6,2,0,4,1,3,2,8,1,2,7,240,0
15,1,14,3,1,4,2,4,0,3,0,7,7,149,1
0,1,14,4,0,3,3,4,2,2,1,1,2,125,0
5,3,14,1,0,4,2,4,0,2,1,11,9,152,0
0,3,8,4,1,3,2,3,2,2,1,1,4,145,0
4,3,13,5,1,3,2,2,1,5,0,1,7,175,0
5,1,8,3,0,2,2,2,2,8,0,1,7,151,0
0,1,8,0,1,5,3,2,0,6,1,2,2,135,1
3,1,34,3,0,3,2,2,0,2,0,1,9,158,0
4,1,13,4,0,4,0,3,0,2,0,8,9,189,0
12,1,5,3,1,4,5,2,0,2,0,13,3,293,0
2,3,9,3,0,3,2,3,0,5,1,1,0,152,1
6,3,16,5,1,4,2,2,2,4,0,1,1,147,0
20,1,11,4,1,3,5,3,0,5,0,1,1,283,0
16,1,16,4,0,4,2,3,1,2,0,1,0,153,0
0,3,6,5,1,3,2,4,0,1,1,1,4,163,0
27,1,26,4,0,3,2,3,2,4,0,1,3,149,0
16,1,13,4,0,3,0,5,0,9,0,1,0,200,0
18,1,14,6,1,3,2,2,0,10,0,9,8,137,0
13,3,6,3,1,5,2,2,0,3,1,1,2,175,0
9,1,14,6,1,5,3,5,0,2,1,1,7,121,1
2,1,15,6,1,4,4,2,2,1,0,2,2,140,0
3,3,11,5,0,4,2,3,1,2,0,1,2,161,0
0,3,14,5,0,3,2,4,0,2,0,1,7,162,0
10,1,11,3,1,3,2,2,1,8,0,1,4,163,0
11,1,21,4,1,4,0,2,1,1,1,2,3,215,0
4,1,13,3,0,3,0,2,2,2,1,4,10,171,0
2,3,16,5,0,4,2,4,1,2,1,1,7,183,0
8,1,11,1,1,3,0,4,2,1,0,1,13,181,0
0,1,32,4,1,3,3,2,1,2,0,1,2,129,0
14,1,12,3,1,4,2,4,2,7,1,1,2,160,0
20,3,10,0,1,3,2,3,2,4,0,1,0,130,0
15,1,29,4,0,3,1,2,2,3,0,2,0,260,0
2,3,8,4,1,3,2,3,0,2,0,1,2,146,0
15,2,8,1,1,3,3,3,1,1,1,1,0,127,0
5,1,14,0,0,3,3,4,0,2,0,1,7,124,0
21,3,35,3,0,3,0,3,0,4,0,1,3,225,0
10,1,12,3,1,2,2,5,1,5,1,6,7,160,0
3,3,31,1,0,3,2,3,0,8,1,2,2,147,0
0,3,6,4,1,3,2,3,0,2,0,7,7,153,0
15,1,8,6,1,4,2,2,2,4,0,1,0,168,0
9,3,6,2,0,4,3,4,2,2,1,1,2,122,1
9,3,6,3,0,3,2,2,2,5,0,1,0,167,0
9,3,9,3,1,4,0,2,0,5,0,1,12,197,0
30,1,6,3,1,3,2,3,0,3,0,1,2,168,0
9,1,16,4,0,2,3,3,0,4,1,1,7,122,0
0,3,14,0,1,3,3,2,2,2,0,2,2,126,0
0,3,11,5,0,3,3,3,2,2,1,1,0,129,1
10,1,16,0,0,3,3,5,0,7,0,1,3,135,0
19,1,13,3,0,3,2,3,0,3,0,1,0,153,0
4,3,10,5,1,3,2,4,2,2,0,7,7,194,1
23,1,16,2,1,4,0,2,2,7,0,1,3,205,0
3,3,28,5,1,4,2,3,0,3,1,1,0,164,1
4,1,14,4,1,4,3,4,2,1,1,2,2,127,0
0,3,18,4,0,2,3,4,2,2,0,1,0,127,1
9,1,29,4,1,3,3,2,2,10,0,1,2,122,0
8,1,15,4,1,4,2,4,2,10,0,1,0,165,0
0,1,6,3,1,3,4,4,1,2,0,1,4,138,0
1,3,15,4,1,3,2,2,2,2,0,1,7,153,0
22,1,13,6,1,4,0,3,2,9,0,1,0,145,0
24,3,20,4,0,3,2,2,0,5,0,1,7,149,0
9,1,14,4,0,3,3,3,0,5,0,2,2,125,0
0,3,25,5,1,2,2,2,2,9,1,1,4,153,1
28,1,8,4,0,3,1,2,2,3,1,1,2,267,0
0,3,16,5,0,3,2,3,1,2,1,1,3,143,0
3,3,14,1,1,3,3,4,0,2,0,1,0,125,0
0,1,9,1,1,3,3,5,2,1,0,1,4,131,1
9,1,17,0,0,3,3,4,0,2,0,1,2,122,0
9,3,8,3,1,4,0,3,0,2,0,9,0,176,0
9,1,10,1,1,3,3,2,2,19,1,1,0,123,1
10,1,20,4,0,3,3,5,1,2,0,12,17,130,0
13,3,8,5,0,3,2,4,1,8,0,1,3,157,0
15,1,14,4,0,3,3,5,1,4,0,1,2,126,0
10,1,16,4,1,3,2,4,2,3,1,1,1,142,0
16,1,18,4,1,4,1,4,1,2,0,2,9,243,0
13,1,8,0,0,4,2,3,0,7,0,1,0,134,0
27,1,11,3,1,3,5,5,0,5,0,1,2,294,0
7,3,10,5,0,3,2,3,0,10,0,1,2,165,0
4,1,13,3,0,3,2,5,0,2,0,3,12,143,0
9,1,27,0,1,3,3,2,0,8,0,1,2,123,0
16,1,14,6,0,3,2,3,1,5,1,1,2,145,0
0,3,10,4,0,4,2,2,2,2,1,1,3,145,0
10,1,31,3,0,3,2,3,0,4,1,10,7,144,0
9,1,6,4,1,4,3,5,0,2,0,3,2,122,0
12,1,6,4,1,3,5,3,1,2,1,1,6,292,0
29,3,12,4,0,2,1,5,0,10,0,2,7,232,0
3,3,18,1,0,3,2,3,2,1,0,4,4,166,0
14,3,6,5,1,2,0,5,0,2,0,1,7,184,0
1,1,23,3,1,3,2,5,1,2,0,1,8,146,0
0,1,9,3,1,3,4,5,0,6,0,1,2,140,1
25,1,9,3,1,4,0,3,0,3,1,1,4,180,0
18,1,14,4,1,3,3,2,0,4,0,1,2,127,0
25,1,10,4,0,3,1,2,0,3,0,1,4,266,0
15,1,35,4,0,3,2,3,1,3,0,1,2,146,0
3,1,8,4,0,5,2,2,2,3,0,1,2,161,0
30,1,13,4,0,3,5,5,0,6,0,11,10,296,0
19,1,24,3,0,3,2,3,1,3,0,1,8,148,0
15,1,34,1,0,4,2,2,0,1,0,1,4,145,0
0,3,6,1,0,3,3,4,2,2,1,1,4,132,1
0,3,14,5,0,5,3,3,1,1,0,1,0,124,1
9,1,8,4,1,3,4,2,0,2,1,1,0,117,0
13,3,8,4,0,3,5,3,0,1,0,1,12,280,0
0,1,29,4,0,3,3,2,1,2,0,1,2,129,0
9,1,9,4,1,3,3,2,0,5,0,1,4,121,0
2,1,9,3,1,4,0,3,0,2,0,1,3,219,0
0,1,14,1,0,4,3,4,0,6,0,1,1,125,1
0,2,14,1,1,4,3,2,2,2,0,1,0,126,1
3,3,28,6,0,3,0,5,0,1,0,7,8,184,0
30,3,35,5,1,4,1,2,1,4,0,2,0,241,0
23,1,35,4,1,4,1,3,0,1,0,15,7,270,0
3,1,14,0,0,3,3,2,2,1,0,6,7,126,0
30,3,34,5,0,4,0,5,0,5,0,13,11,203,0
20,1,8,3,0,3,2,2,1,6,0,1,4,151,0
19,1,8,4,1,3,1,3,0,7,0,1,1,279,0
8,1,28,4,1,5,4,3,2,1,0,4,3,142,0
27,1,14,4,0,3,2,3,2,8,0,1,0,138,0
7,1,8,4,1,4,3,3,1,4,0,5,7,128,0
19,3,16,5,0,4,0,2,0,3,1,1,2,191,0
4,1,15,4,1,3,0,4,1,2,0,1,8,206,0
0,1,21,3,1,3,0,3,0,8,1,2,7,236,1
0,1,16,0,1,5,3,2,1,8,0,1,3,134,1
3,3,13,5,1,3,3,4,2,1,0,1,2,130,0
8,1,22,4,1,3,0,3,0,5,1,1,0,176,0
0,1,26,4,1,3,0,3,0,4,0,1,0,198,1
0,2,29,6,0,3,0,5,1,10,1,1,2,200,1
9,1,11,6,1,3,3,3,0,5,0,2,0,121,0
9,3,16,3,1,3,0,2,2,2,0,9,7,200,0
0,1,10,1,1,4,4,3,2,6,0,1,2,139,1
21,3,8,5,0,3,2,2,0,3,0,6,7,141,0
28,3,24,4,0,3,1,4,2,4,0,7,7,268,0
14,3,16,4,1,3,2,2,2,8,0,1,10,162,0
8,3,6,5,1,3,2,3,0,10,0,6,9,147,0
13,1,12,4,0,3,1,3,2,8,0,2,13,232,0
12,1,14,4,0,3,4,3,0,2,0,1,7,138,0
4,3,8,4,1,3,2,2,2,5,1,1,5,166,0
15,1,30,3,1,3,0,5,0,2,1,5,8,174,0
18,3,8,6,1,3,2,4,0,1,0,3,7,148,0
0,2,23,4,0,3,3,3,1,1,1,1,0,127,1
2,1,25,1,1,3,2,2,1,5,0,1,2,143,0
6,1,6,3,0,2,1,3,1,5,0,1,5,262,0
0,3,13,4,1,4,0,2,1,10,0,1,3,216,0
9,3,11,5,1,3,4,4,2,2,1,1,0,119,1
13,3,34,6,1,5,0,5,1,4,0,1,3,209,0
14,1,8,6,0,4,2,3,2,3,1,1,7,168,0
0,3,35,3,1,3,2,3,1,6,0,1,0,143,0
8,3,6,3,0,3,2,3,2,2,0,1,3,149,0
7,3,27,4,1,2,2,2,2,2,0,5,7,153,0
0,1,14,1,1,5,3,2,2,2,1,1,0,123,1
10,1,6,1,0,3,0,2,2,5,0,1,2,175,0
19,1,24,3,0,3,0,3,0,6,0,1,2,205,0
14,3,8,4,0,3,1,5,0,8,0,11,8,266,0
10,3,15,3,1,3,0,4,1,2,0,7,7,188,0
25,1,12,1,1,3,2,5,1,4,1,6,9,156,0
0,3,17,6,1,2,2,3,0,9,0,1,2,147,1
0,3,14,0,1,3,3,2,0,1,0,2,1,124,0
11,1,16,3,0,3,2,3,0,4,0,1,0,198,0
10,1,6,4,0,3,2,4,0,7,0,4,3,164,0
22,1,24,4,1,4,5,3,1,2,1,1,9,295,0
0,1,29,0,1,2,3,2,0,2,1,1,4,127,0
0,3,34,5,1,3,2,4,0,2,0,1,4,163,0
9,1,23,6,1,4,3,4,0,2,0,1,0,121,0
23,2,9,3,1,3,5,4,0,2,0,10,7,282,0
9,3,19,0,1,3,3,3,0,2,0,1,6,121,0
0,1,13,4,0,3,3,3,0,2,1,1,2,129,1
9,3,18,4,1,4,3,5,0,2,0,1,0,120,1
7,1,6,4,1,4,4,2,0,2,1,1,3,136,0
0,3,19,3,1,3,2,5,1,3,0,1,2,142,1
8,1,31,6,1,4,2,2,2,5,0,1,2,137,0
4,3,12,3,1,2,2,2,1,5,0,5,7,155,0
9,1,12,0,0,4,3,3,1,1,0,1,3,122,0
10,3,8,5,1,3,2,3,0,5,1,1,0,196,0
0,1,6,4,0,4,3,4,2,2,0,1,0,128,0
15,1,8,4,0,3,2,2,0,2,0,2,2,141,0
16,1,12,6,1,4,1,2,1,5,1,1,0,266,0
11,1,14,4,0,3,3,5,2,4,0,1,0,126,0
16,1,15,3,1,3,2,3,1,4,1,4,7,157,0
21,1,6,4,0,4,1,5,0,8,0,2,2,254,0
17,2,6,4,0,4,2,3,2,5,0,1,2,160,0
7,3,14,1,0,3,3,3,1,2,1,1,6,126,0
0,3,8,5,1,3,3,5,1,1,0,1,2,130,1
0,3,28,1,1,3,3,3,2,2,0,1,2,134,0
17,1,9,6,1,3,5,2,0,5,1,1,1,295,0
0,1,12,0,1,3,3,3,0,1,0,2,2,128,0
6,3,14,5,1,3,2,3,1,1,0,1,2,171,0
5,1,15,4,0,3,2,2,0,2,1,1,5,163,0
9,1,9,0,0,3,3,3,1,2,0,1,0,121,0
26,3,6,3,0,3,2,5,2,8,0,8,10,184,0
7,1,6,4,1,3,3,2,0,2,0,8,8,127,0
8,3,32,4,0,3,2,5,0,3,0,1,0,143,1
0,1,12,4,0,3,3,2,0,2,1,1,2,127,0
10,1,9,6,1,3,0,3,0,2,0,7,8,194,0
2,3,9,3,0,3,2,3,0,2,0,1,2,156,0
8,1,12,4,1,5,2,2,2,2,0,11,8,166,0
6,1,12,4,1,3,2,2,1,4,0,4,7,177,0
27,2,25,3,1,3,0,4,0,3,0,7,1,207,0
9,1,15,3,1,4,2,4,1,3,1,1,2,188,0
9,1,9,0,1,4,3,2,2,1,0,1,1,120,0
0,1,16,3,1,3,4,3,2,2,1,1,1,110,1
0,1,9,4,1,3,3,5,2,2,1,9,7,133,1
9,1,9,4,1,4,4,3,0,2,0,1,0,113,0
0,1,10,0,1,2,3,5,0,3,0,1,2,128,0
0,3,14,4,1,2,2,4,0,1,0,1,2,149,0
11,3,13,5,0,4,2,2,2,1,0,1,5,140,0
2,1,6,4,1,5,3,2,1,2,0,2,8,127,0
21,3,8,5,1,2,2,4,0,4,0,2,2,181,0
0,3,9,3,0,2,2,2,1,2,1,1,4,146,0
10,1,16,4,1,2,4,2,2,4,0,1,0,147,0
23,1,34,0,1,2,3,3,0,2,1,3,8,132,0
7,1,15,3,0,4,0,4,2,2,0,7,7,186,0
0,3,9,4,0,3,2,3,2,10,0,2,0,146,1
12,1,8,1,0,4,2,3,2,2,0,11,10,146,0
5,3,16,5,1,3,2,2,2,2,0,1,8,154,0
13,3,14,1,1,3,2,3,0,4,1,1,3,168,1
11,1,6,4,0,2,2,2,2,1,0,1,8,176,0
0,1,6,4,0,3,0,5,0,2,0,1,7,174,0
5,1,9,4,0,3,0,2,2,4,0,7,3,212,0
20,3,20,5,1,3,2,5,2,3,0,1,7,150,0
13,3,11,4,1,4,0,5,0,6,1,1,12,205,0
26,1,13,4,1,2,1,3,0,4,0,2,3,248,0
14,2,16,6,1,4,5,2,1,4,0,12,6,291,0
30,3,22,5,1,3,2,5,2,9,0,2,2,154,0
0,1,16,4,1,3,0,5,1,2,0,1,7,188,0
14,2,6,6,1,4,5,3,0,2,0,2,10,292,0
23,3,14,5,1,3,4,4,0,8,0,2,2,139,0
9,1,6,4,0,5,3,4,2,8,1,3,7,122,1
9,1,14,4,0,2,0,5,0,10,0,1,3,217,0
11,1,6,4,0,3,0,3,2,5,1,1,0,179,0
17,1,30,3,1,5,4,3,2,3,0,1,4,137,0
20,3,9,3,0,3,1,3,1,10,1,2,13,238,0
3,3,33,5,1,3,2,2,1,8,0,7,7,153,0
2,3,14,4,1,3,3,3,2,2,0,1,0,126,0
5,1,25,0,1,2,3,3,1,7,1,2,2,128,1
16,3,21,4,1,4,2,2,0,4,0,2,2,168,0
7,1,14,3,0,3,2,3,2,4,0,4,3,161,0
0,1,14,0,1,3,3,5,0,2,0,1,2,125,0
12,2,9,6,0,2,2,4,0,10,0,3,6,164,0
29,1,15,3,1,3,1,2,0,8,0,1,3,211,0
13,1,14,0,0,4,3,2,2,1,1,2,3,123,0
0,1,13,3,0,4,2,5,2,9,0,1,7,168,0
9,3,16,5,1,3,3,4,1,2,0,2,2,123,0
26,1,14,4,1,3,2,2,2,3,0,2,2,125,0
8,1,8,4,0,3,2,5,1,3,0,1,0,151,0
5,1,30,4,1,3,2,2,0,2,0,4,7,153,0
11,1,8,0,1,3,3,3,0,7,1,1,1,131,0
7,1,14,4,0,3,2,5,1,4,0,1,0,151,0
25,3,9,5,1,4,1,5,0,2,0,1,16,269,0
0,1,6,6,1,3,3,2,2,2,1,7,8,127,1
0,3,32,3,0,3,2,2,2,2,0,1,4,162,0
18,3,8,1,1,5,2,3,2,1,0,3,1,166,0
0,1,16,3,1,2,3,3,2,2,0,1,2,135,0
10,3,33,4,0,1,2,3,2,5,1,1,3,164,1
7,3,8,6,1,3,2,2,2,2,0,1,4,163,0
18,1,8,3,1,3,5,5,0,6,1,1,4,299,1
9,3,14,4,1,4,0,5,2,2,0,1,9,176,0
25,1,25,3,1,3,4,2,0,1,0,1,2,143,0
0,1,6,4,0,5,4,2,1,4,0,2,0,144,0
2,1,33,3,0,3,2,3,0,5,0,1,1,143,0
0,3,14,1,1,4,2,5,2,7,0,1,2,153,1
7,1,6,4,0,1,3,2,2,3,0,1,3,133,0
27,1,25,3,0,3,2,5,1,10,1,1,4,155,0
2,3,5,5,1,3,2,2,0,1,0,1,1,143,0
10,1,16,4,0,3,3,5,1,1,1,4,3,128,0
11,1,8,4,0,1,2,5,2,7,1,4,12,160,0
7,1,8,3,0,4,4,5,2,2,0,1,3,144,0
8,3,14,4,0,3,3,2,0,2,0,1,2,126,0
3,1,6,4,1,5,4,3,0,4,0,1,2,138,0
13,1,8,3,0,1,2,4,0,2,0,3,7,142,0
